figure,series,cohort,criterion,metric,seed,value,mean,sample_sd
01,logistic_regression,full_dataset,fpr_at_most_0.01,f1,42,0.002257271620674106,0.002257262206979359,2.1856693942105073e-08
01,logistic_regression,full_dataset,fpr_at_most_0.01,f1,123,0.002257230435598557,0.002257262206979359,2.1856693942105073e-08
01,logistic_regression,full_dataset,fpr_at_most_0.01,f1,456,0.0022572539697434135,0.002257262206979359,2.1856693942105073e-08
01,logistic_regression,full_dataset,fpr_at_most_0.01,f1,789,0.0022572892718808486,0.002257262206979359,2.1856693942105073e-08
01,logistic_regression,full_dataset,fpr_at_most_0.01,f1,1024,0.0022572657369998696,0.002257262206979359,2.1856693942105073e-08
01,random_forest,full_dataset,fpr_at_most_0.01,f1,42,0.502249697925593,0.4507152936289788,0.09545532316351597
01,random_forest,full_dataset,fpr_at_most_0.01,f1,123,0.2825436040656847,0.4507152936289788,0.09545532316351597
01,random_forest,full_dataset,fpr_at_most_0.01,f1,456,0.5128603443500291,0.4507152936289788,0.09545532316351597
01,random_forest,full_dataset,fpr_at_most_0.01,f1,789,0.48697955212422267,0.4507152936289788,0.09545532316351597
01,random_forest,full_dataset,fpr_at_most_0.01,f1,1024,0.4689432696793642,0.4507152936289788,0.09545532316351597
01,xgboost,full_dataset,fpr_at_most_0.01,f1,42,0.010818008253394228,0.010643248564027163,0.00022506591818571237
01,xgboost,full_dataset,fpr_at_most_0.01,f1,123,0.010523090027995782,0.010643248564027163,0.00022506591818571237
01,xgboost,full_dataset,fpr_at_most_0.01,f1,456,0.010421282009426311,0.010643248564027163,0.00022506591818571237
01,xgboost,full_dataset,fpr_at_most_0.01,f1,789,0.010509716040544887,0.010643248564027163,0.00022506591818571237
01,xgboost,full_dataset,fpr_at_most_0.01,f1,1024,0.010944146488774602,0.010643248564027163,0.00022506591818571237
01,mlp,full_dataset,fpr_at_most_0.01,f1,42,0.00957183946123327,0.011088836189297785,0.007699191173536777
01,mlp,full_dataset,fpr_at_most_0.01,f1,123,0.007570121173967108,0.011088836189297785,0.007699191173536777
01,mlp,full_dataset,fpr_at_most_0.01,f1,456,0.02469199483154819,0.011088836189297785,0.007699191173536777
01,mlp,full_dataset,fpr_at_most_0.01,f1,789,0.006221569148520423,0.011088836189297785,0.007699191173536777
01,mlp,full_dataset,fpr_at_most_0.01,f1,1024,0.007388656331219935,0.011088836189297785,0.007699191173536777
01,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,f1,42,0.015383184908155463,0.016138642210671825,0.001845712730648199
01,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,f1,123,0.013647217621345093,0.016138642210671825,0.001845712730648199
01,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,f1,456,0.017946182111142385,0.016138642210671825,0.001845712730648199
01,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,f1,789,0.015730116295304235,0.016138642210671825,0.001845712730648199
01,autoencoder_B,full_dataset,benign_fpr_at_most_0.01,f1,1024,0.017986510117411942,0.016138642210671825,0.001845712730648199
01,logistic_regression,full_dataset,fpr_at_most_0.01,false_positive_rate,42,0.007875505735422655,0.00787710766895643,3.719324348690149e-06
01,logistic_regression,full_dataset,fpr_at_most_0.01,false_positive_rate,123,0.007882514194632921,0.00787710766895643,3.719324348690149e-06
01,logistic_regression,full_dataset,fpr_at_most_0.01,false_positive_rate,456,0.007878509360798484,0.00787710766895643,3.719324348690149e-06
01,logistic_regression,full_dataset,fpr_at_most_0.01,false_positive_rate,789,0.007872502110046826,0.00787710766895643,3.719324348690149e-06
01,logistic_regression,full_dataset,fpr_at_most_0.01,false_positive_rate,1024,0.007876506943881265,0.00787710766895643,3.719324348690149e-06
01,random_forest,full_dataset,fpr_at_most_0.01,false_positive_rate,42,0.00830202053879032,0.008370503197359214,0.00024945023855368995
01,random_forest,full_dataset,fpr_at_most_0.01,false_positive_rate,123,0.008393130508523788,0.008370503197359214,0.00024945023855368995
01,random_forest,full_dataset,fpr_at_most_0.01,false_positive_rate,456,0.008548317819608266,0.008370503197359214,0.00024945023855368995
01,random_forest,full_dataset,fpr_at_most_0.01,false_positive_rate,789,0.007985638665869705,0.008370503197359214,0.00024945023855368995
01,random_forest,full_dataset,fpr_at_most_0.01,false_positive_rate,1024,0.008623408454003983,0.008370503197359214,0.00024945023855368995
01,xgboost,full_dataset,fpr_at_most_0.01,false_positive_rate,42,0.008595374617162916,0.008276990327325082,0.0003721830005868492
01,xgboost,full_dataset,fpr_at_most_0.01,false_positive_rate,123,0.0076912833790384995,0.008276990327325082,0.0003721830005868492
01,xgboost,full_dataset,fpr_at_most_0.01,false_positive_rate,456,0.008590368574869868,0.008276990327325082,0.0003721830005868492
